source,layer,name,lat,lon,addendum_json_gbif,addendum_json_georg
GBIF,s-fbo,"Södermanland, Tveta sn, Tvetatippen, Södertälje",30.51,30.51,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-N467-39"",""catalogNumber"":""S-N467-39"",""higherGeography"":""Europe; Sweden; Södermanland; Tveta"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Södermanland"",""locality"":""Södermanland, Tveta sn, Tvetatippen, Södertälje. RUBIN 10I 1a 3512. Soptipp, bar jord.1998-10-10. Leg. Anders Svenson AS98232"",""verbatimLocality"":""Södermanland, Tveta sn, Tvetatippen, Södertälje. RUBIN 10I 1a 3512. Soptipp, bar jord.1998-10-10. Leg. Anders Svenson AS98232"",""decimalLatitude"":""30.51"",""decimalLongitude"":""30.51""}","{""locationDisplayLabel"":""Tveta sn, Tvetatippen, Södertälje"",""verbatimTokens"":[""Södermanland"",""Tveta sn"",""Tvetatippen"",""Södertälje""]}"
GBIF,s-fbo,"Ångermanland, Ramsele socken, Svanalokarna",63.00,16.00,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-N04118-110"",""catalogNumber"":""S-N04118-110"",""higherGeography"":""Europe; Sweden; Ångermanland; Ramsele"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Ångermanland"",""locality"":""Kärrviol. Ångermanland: Ramsele socken. Svanalokarna, S. delen. Ett par blommande ex. i blöt, buskig mark vid bäckutloppet, samt flera bladskott. 29\/6 2004. GPS: 63.35.964\/016.34.886. RUBIN: 20 G 0h 4833. Torbjörn Peterson (S)."",""verbatimLocality"":""Kärrviol. Ångermanland: Ramsele socken. Svanalokarna, S. delen. Ett par blommande ex. i blöt, buskig mark vid bäckutloppet, samt flera bladskott. 29\/6 2004. GPS: 63.35.964\/016.34.886. RUBIN: 20 G 0h 4833. Torbjörn Peterson (S)."",""decimalLatitude"":""16.00"",""decimalLongitude"":""63.00""}","{""locationDisplayLabel"":""Ångermanland, Ramsele socken, Svanalokarna"",""verbatimTokens"":[""Ångermanland"",""Ramsele socken"",""Svanalokarna""]}"
GBIF,s-fbo,"Östergötland, Högby socken, Hulje avfallsanläggning, Mjölby",10.00,10.00,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-N05155-22"",""catalogNumber"":""S-N05155-22"",""higherGeography"":""Europe; Sweden; Östergötland; Högby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Östergötland"",""locality"":""Östergötland, Högby socken, Hulje avfallsanläggning, Mjölby. N 6468700, E 1459235. Grusmark. 2005-07-16 leg. Anders Svenson, AS05104. Kontr. Thomas Karlsson."",""verbatimLocality"":""Östergötland, Högby socken, Hulje avfallsanläggning, Mjölby. N 6468700, E 1459235. Grusmark. 2005-07-16 leg. Anders Svenson, AS05104. Kontr. Thomas Karlsson."",""decimalLatitude"":""10.00"",""decimalLongitude"":""10.00""}","{""locationDisplayLabel"":""Högby socken, Hulje avfallsanläggning, Mjölby"",""verbatimTokens"":[""Östergötland"",""Högby socken"",""Hulje avfallsanläggning"",""Mjölby""]}"
GBIF,s-fbo,"Uppland, Värmdö socken, Östra, Älvsala",20.33,20.33,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-N05155-33"",""catalogNumber"":""S-N05155-33"",""higherGeography"":""Europe; Sweden; Uppland; Värmdö"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Uppland, Värmdö socken, Östra Älvsala 600 m VNV-ut. 6579255, 1661755. Jordhög, vägkant. 2004-08-01, leg. Anders Svenson, AS04526."",""verbatimLocality"":""Uppland, Värmdö socken, Östra Älvsala 600 m VNV-ut. 6579255, 1661755. Jordhög, vägkant. 2004-08-01, leg. Anders Svenson, AS04526."",""decimalLatitude"":""20.33"",""decimalLongitude"":""20.33""}","{""locationDisplayLabel"":""Värmdö socken, Östra, Älvsala"",""verbatimTokens"":[""Uppland"",""Värmdö socken"",""Östra"",""Älvsala""]}"
GBIF,s-fbo,"Lycksele Lappmark, Stensele s:n, Kyrkbergets sydsluttning",65.28,16.78,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-LS-3"",""catalogNumber"":""S-LS-3"",""higherGeography"":""Europe; Sweden; Lycksele lappmark; Stensele"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Lycksele lappmark"",""locality"":""Flora suecica Lycksele Lappmark: Stensele s:n, Kyrkbergets sydsluttning. (65° 17´ N, 16° 47' E.) 16.6.1970.  leg. Gunnar Lohammar"",""verbatimLocality"":""Flora suecica Lycksele Lappmark: Stensele s:n, Kyrkbergets sydsluttning. (65° 17´ N, 16° 47' E.) 16.6.1970.  leg. Gunnar Lohammar"",""decimalLatitude"":""16.78"",""decimalLongitude"":""65.28""}","{""locationDisplayLabel"":""Lycksele Lappmark, Stensele s:n, Kyrkbergets sydsluttning"",""verbatimTokens"":[""Lycksele Lappmark"",""Stensele s:n"",""Kyrkbergets sydsluttning""]}"
GBIF,s-fbo,"H. G., Simmons, Flora Kirunensis, N:0422, Leontodon autumnalis L., Kiruna, Lapponiae tornensis",67.83,20.33,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-HS-6540"",""catalogNumber"":""S-HS-6540"",""higherGeography"":""Europe; Sweden; Torne lappmark; Jukkasjärvi"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Torne lappmark"",""locality"":""H. G. Simmons, Flora Kirunensis, N:0422, Leontodon autumnalis L., ad Kiruna, Lapponiae tornensis, lat. bor. 67°50' long. 20°20' o. v. a Gr., Distr. B 27, Supra mare m. 505, leg. E. Sterner 26.VII.1909"",""verbatimLocality"":""H. G. Simmons, Flora Kirunensis, N:0422, Leontodon autumnalis L., ad Kiruna, Lapponiae tornensis, lat. bor. 67°50' long. 20°20' o. v. a Gr., Distr. B 27, Supra mare m. 505, leg. E. Sterner 26.VII.1909"",""decimalLatitude"":""20.33"",""decimalLongitude"":""67.83""}","{""locationDisplayLabel"":""Leontodon autumnalis L., Kiruna, Lapponiae tornensis"",""verbatimTokens"":[""H. G."",""Simmons"",""Flora Kirunensis"",""N:0422"",""Leontodon autumnalis L."",""Kiruna"",""Lapponiae tornensis""]}"
GBIF,s-fbo,"Bohuslän, Tossene socken, Nyckelbergets, Granskog, Lokalnr",64.00,12.66,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S08-218"",""catalogNumber"":""S08-218"",""higherGeography"":""Europe; Sweden; Bohuslän"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Bohuslän"",""locality"":""Flora Suecica. Bohuslän. Tossene socken. Nyckelbergets So-sluttning. Granskog. Lokalnr. 8A7h-176. Koord NS 64 88 15 ÖV 12 39 53"",""verbatimLocality"":""Flora Suecica. Bohuslän. Tossene socken. Nyckelbergets So-sluttning. Granskog. Lokalnr. 8A7h-176. Koord NS 64 88 15 ÖV 12 39 53"",""decimalLatitude"":""12.66"",""decimalLongitude"":""64.00""}","{""locationDisplayLabel"":""Nyckelbergets, Granskog, Lokalnr"",""verbatimTokens"":[""Bohuslän"",""Tossene socken"",""Nyckelbergets"",""Granskog"",""Lokalnr""]}"
GBIF,s-fbo,"Uppland, Norrtälje kommun, Fasterna socken, Skedvikens västände, Fasterna kyrka, Rumex hydrolapathum, R. maritimus, Bidens cernua, Glyceria maxima m",59.77,18.25,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S-N08101-67"",""catalogNumber"":""S-N08101-67"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Uppland. Norrtälje kommun. Fasterna socken. Skedvikens västände vid Fasterna kyrka. På näringsrik sjöstrand med Rumex hydrolapathum, R. maritimus Bidens cernua. Myosotis scorpioides, Butomus umbellatus, Phragmites australis, Glyceria maxima m. fl. Rikt gr"",""verbatimLocality"":""Uppland. Norrtälje kommun. Fasterna socken. Skedvikens västände vid Fasterna kyrka. På näringsrik sjöstrand med Rumex hydrolapathum, R. maritimus Bidens cernua. Myosotis scorpioides, Butomus umbellatus, Phragmites australis, Glyceria maxima m. fl. Rikt gr"",""decimalLatitude"":""18.25"",""decimalLongitude"":""59.77""}","{""locationDisplayLabel"":""R. maritimus, Bidens cernua, Glyceria maxima m"",""verbatimTokens"":[""Uppland"",""Norrtälje kommun"",""Fasterna socken"",""Skedvikens västände"",""Fasterna kyrka"",""Rumex hydrolapathum"",""R. maritimus"",""Bidens cernua"",""Glyceria maxima m""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3763"",""catalogNumber"":""S09-3763"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9001"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9001"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3762"",""catalogNumber"":""S09-3762"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9000"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9000"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
