source,layer,lat,lon,name,addendum_json_vh,addendum_json_georg
swe-virtual-herbarium,socken,56.23611999999999,14.83434,Asarum,"{""District"":""Asarum"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Karlshamn"",""Latitude"":56.23612,""Longitude"":14.83434,""Continent"":""Europe"",""ID"":16440,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":11334,""RT90centrE"":1439794,""RT90centrN"":6234647,""Code"":""SE-1082""}","{""coordinateUncertaintyInMeters"":11334,""locationDisplayLabel"":""Asarum""}"
swe-virtual-herbarium,socken,56.11156,15.54052,Aspö,"{""District"":""Aspö"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Karlskrona"",""Latitude"":56.11156,""Longitude"":15.54052,""Continent"":""Europe"",""ID"":16441,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":3977,""RT90centrE"":1483531,""RT90centrN"":6220384,""Code"":""SE-1080""}","{""coordinateUncertaintyInMeters"":3977,""locationDisplayLabel"":""Aspö""}"
swe-virtual-herbarium,socken,56.30975,15.73605,Augerum,"{""District"":""Augerum"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Karlskrona"",""Latitude"":56.30975,""Longitude"":15.73605,""Continent"":""Europe"",""ID"":16442,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":18179,""RT90centrE"":1495717,""RT90centrN"":6242423,""Code"":""SE-1080""}","{""coordinateUncertaintyInMeters"":18179,""locationDisplayLabel"":""Augerum""}"
swe-virtual-herbarium,socken,56.39116,15.15639,Backaryd,"{""District"":""Backaryd"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Ronneby"",""Latitude"":56.39116,""Longitude"":15.15639,""Continent"":""Europe"",""ID"":16443,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":9450,""RT90centrE"":1459927,""RT90centrN"":6251674,""Code"":""SE-1081""}","{""coordinateUncertaintyInMeters"":9450,""locationDisplayLabel"":""Backaryd""}"
swe-virtual-herbarium,socken,56.24762,15.108179999999999,Bräkne-Hoby,"{""District"":""Bräkne-Hoby"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Ronneby"",""Latitude"":56.24762,""Longitude"":15.10818,""Continent"":""Europe"",""ID"":16444,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":15841,""RT90centrE"":1456788,""RT90centrN"":6235720,""Code"":""SE-1081""}","{""coordinateUncertaintyInMeters"":15841,""locationDisplayLabel"":""Bräkne-Hoby""}"
swe-virtual-herbarium,socken,56.22436999999999,15.34777,Edestad,"{""District"":""Edestad"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Ronneby"",""Latitude"":56.22437,""Longitude"":15.34777,""Continent"":""Europe"",""ID"":16445,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":14412,""RT90centrE"":1471622,""RT90centrN"":6233008,""Code"":""SE-1081""}","{""coordinateUncertaintyInMeters"":14412,""locationDisplayLabel"":""Edestad""}"
swe-virtual-herbarium,socken,56.15726,14.73829,Elleholm,"{""District"":""Elleholm"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Karlshamn"",""Latitude"":56.15726,""Longitude"":14.73829,""Continent"":""Europe"",""ID"":16446,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":3397,""RT90centrE"":1433701,""RT90centrN"":6225955,""Code"":""SE-1082""}","{""coordinateUncertaintyInMeters"":3397,""locationDisplayLabel"":""Elleholm""}"
swe-virtual-herbarium,socken,56.44067,15.34479,Eringsboda,"{""District"":""Eringsboda"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Ronneby"",""Latitude"":56.44067,""Longitude"":15.34479,""Continent"":""Europe"",""ID"":16447,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":10099,""RT90centrE"":1471600,""RT90centrN"":6257093,""Code"":""SE-1081""}","{""coordinateUncertaintyInMeters"":10099,""locationDisplayLabel"":""Eringsboda""}"
swe-virtual-herbarium,socken,56.305209999999995,15.54318,Fridlevstad,"{""District"":""Fridlevstad"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Karlskrona"",""Latitude"":56.30521,""Longitude"":15.54318,""Continent"":""Europe"",""ID"":16448,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":13569,""RT90centrE"":1483778,""RT90centrN"":6241945,""Code"":""SE-1080""}","{""coordinateUncertaintyInMeters"":13569,""locationDisplayLabel"":""Fridlevstad""}"
swe-virtual-herbarium,socken,56.17547,15.463920000000002,Förkärla,"{""District"":""Förkärla"",""Province"":""Blekinge"",""Country"":""Sweden"",""Län"":""Blekinge län"",""Kommun"":""Ronneby"",""Latitude"":56.17547,""Longitude"":15.46392,""Continent"":""Europe"",""ID"":16449,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":7512,""RT90centrE"":1478800,""RT90centrN"":6227520,""Code"":""SE-1081""}","{""coordinateUncertaintyInMeters"":7512,""locationDisplayLabel"":""Förkärla""}"
