source,layer,name,lat,lon,addendum_json_gbif,addendum_json_georg
GBIF,uppsala-botany,"Elsas hembageri, Tokenäs",57.3191700,16.9983300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-000977"",""catalogNumber"":""A-000977"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Öland"",""county"":""Böda"",""locality"":""at the beach 100 m SW of Elsas hembageri, c. 400 m SSW of Tokenäs  lighthouse"",""decimalLatitude"":""57.3191700"",""decimalLongitude"":""16.9983300""}","{""locationDisplayLabel"":""Elsas hembageri, Tokenäs"",""interpretedTokens"":[""Elsas hembageri"",""Tokenäs""]}"
GBIF,uppsala-botany,Blåbergsholmen,58.2538900,11.4458300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-529077"",""catalogNumber"":""A-529077"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Blåbergsholmen"",""decimalLatitude"":""58.2538900"",""decimalLongitude"":""11.4458300""}","{""locationDisplayLabel"":""Blåbergsholmen"",""interpretedTokens"":[""Blåbergsholmen""]}"
GBIF,uppsala-botany,"Stora, Håskär",58.5333300,11.1783300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-529141"",""catalogNumber"":""A-529141"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Tanum"",""locality"":""Stora Håskär, hamnen"",""decimalLatitude"":""58.5333300"",""decimalLongitude"":""11.1783300""}","{""locationDisplayLabel"":""Stora, Håskär"",""interpretedTokens"":[""Stora"",""Håskär""]}"
GBIF,uppsala-botany,"Grundsund, Svenningeskär",58.2166700,11.4000000,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-529462"",""catalogNumber"":""A-529462"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Grundsund, Svenningeskär"",""decimalLatitude"":""58.2166700"",""decimalLongitude"":""11.4000000""}","{""locationDisplayLabel"":""Grundsund, Svenningeskär"",""interpretedTokens"":[""Grundsund"",""Svenningeskär""]}"
GBIF,uppsala-botany,"Väderö, Storö",58.5847200,11.0805600,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-529692"",""catalogNumber"":""A-529692"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Kville"",""locality"":""Trål mot lilla skäret NO om Väderö Storö"",""decimalLatitude"":""58.5847200"",""decimalLongitude"":""11.0805600""}","{""locationDisplayLabel"":""Väderö, Storö"",""interpretedTokens"":[""Väderö"",""Storö""]}"
GBIF,uppsala-botany,Gäsö,58.2500000,11.4241700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-529699"",""catalogNumber"":""A-529699"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Gäsö NO-ända, grundare"",""decimalLatitude"":""58.2500000"",""decimalLongitude"":""11.4241700""}","{""locationDisplayLabel"":""Gäsö"",""interpretedTokens"":[""Gäsö""]}"
GBIF,uppsala-botany,"Göteborgs inlopp, Hunneskär",57.7000000,11.8333300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530006"",""catalogNumber"":""A-530006"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":null,""locality"":""Göteborgs inlopp vid Hunneskär"",""decimalLatitude"":""57.7000000"",""decimalLongitude"":""11.8333300""}","{""locationDisplayLabel"":""Göteborgs inlopp, Hunneskär"",""interpretedTokens"":[""Göteborgs inlopp"",""Hunneskär""]}"
GBIF,uppsala-botany,Hållskäret,60.2166700,18.8666700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530297"",""catalogNumber"":""A-530297"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Singö"",""locality"":""Hållskäret"",""decimalLatitude"":""60.2166700"",""decimalLongitude"":""18.8666700""}","{""locationDisplayLabel"":""Hållskäret"",""interpretedTokens"":[""Hållskäret""]}"
GBIF,uppsala-botany,"Öregrund, Fl. Klipp",60.3436100,18.4491700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530658"",""catalogNumber"":""A-530658"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Öregrund"",""locality"":""Öregrund, Fl. Klipp"",""decimalLatitude"":""60.3436100"",""decimalLongitude"":""18.4491700""}","{""locationDisplayLabel"":""Öregrund, Fl. Klipp"",""interpretedTokens"":[""Öregrund"",""Fl. Klipp""]}"
GBIF,uppsala-botany,"Öregrund, Trutbådan",60.3166700,18.6333300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530671"",""catalogNumber"":""A-530671"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Gräsö"",""locality"":""Öregrund, Trutbådan"",""decimalLatitude"":""60.3166700"",""decimalLongitude"":""18.6333300""}","{""locationDisplayLabel"":""Öregrund, Trutbådan"",""interpretedTokens"":[""Öregrund"",""Trutbådan""]}"
